"vol","price","side","date time"
500,18.8,buy,2024-11-15 09:41:24
500,18.8,buy,2024-11-15 09:41:25
500,18.8,buy,2024-11-15 09:41:30
500,18.8,buy,2024-11-15 09:41:30
"10,000",18.8,buy,2024-11-15 09:41:30
500,18.8,buy,2024-11-15 09:41:30
100,18.8,buy,2024-11-15 09:41:30
300,18.8,buy,2024-11-15 09:41:30
900,18.8,buy,2024-11-15 09:41:30
100,18.8,buy,2024-11-15 09:41:30
100,18.8,buy,2024-11-15 09:41:30
"1,000",18.8,buy,2024-11-15 09:41:30
200,18.8,buy,2024-11-15 09:41:30
"1,300",18.8,buy,2024-11-15 09:41:30
900,18.8,buy,2024-11-15 09:41:30
700,18.8,buy,2024-11-15 09:41:30
300,18.8,buy,2024-11-15 09:41:30
700,18.8,buy,2024-11-15 09:41:30
800,18.8,buy,2024-11-15 09:41:30
"46,500",18.8,buy,2024-11-15 09:41:30
300,18.8,sell,2024-11-15 09:41:43
"8,000",18.8,sell,2024-11-15 09:41:48
100,18.85,buy,2024-11-15 09:41:50
500,18.8,sell,2024-11-15 09:41:59
200,18.8,sell,2024-11-15 09:42:08
"10,000",18.8,sell,2024-11-15 09:42:23
"2,500",18.8,sell,2024-11-15 09:42:27
"1,000",18.8,sell,2024-11-15 09:42:30
"1,200",18.8,sell,2024-11-15 09:42:36
"5,000",18.8,sell,2024-11-15 09:42:42
300,18.8,sell,2024-11-15 09:42:46
600,18.8,sell,2024-11-15 09:43:56
100,18.85,buy,2024-11-15 09:43:59
"5,000",18.8,sell,2024-11-15 09:44:00
"1,300",18.8,sell,2024-11-15 09:44:00
100,18.85,buy,2024-11-15 09:44:05
"1,200",18.8,sell,2024-11-15 09:44:10
300,18.8,sell,2024-11-15 09:44:10
500,18.8,sell,2024-11-15 09:44:10
"9,700",18.8,sell,2024-11-15 09:44:41
300,18.8,sell,2024-11-15 09:44:41
"1,800",18.85,buy,2024-11-15 09:44:59
"2,600",18.85,buy,2024-11-15 09:44:59
"3,100",18.85,buy,2024-11-15 09:44:59
100,18.85,buy,2024-11-15 09:45:00
200,18.85,buy,2024-11-15 09:45:00
100,18.85,buy,2024-11-15 09:45:07
"2,300",18.85,buy,2024-11-15 09:45:11
"2,000",18.85,buy,2024-11-15 09:45:11
"2,300",18.85,buy,2024-11-15 09:45:11
100,18.85,buy,2024-11-15 09:45:11
"10,000",18.85,buy,2024-11-15 09:45:11
"5,800",18.85,buy,2024-11-15 09:45:11
"1,100",18.85,buy,2024-11-15 09:45:15
